,Name,Networth,Country,Source,Rank,Age,Industry
614,Mangal Prabhat Lodha ,$4.7 B,India,real estate,601,66,Real Estate 
615,Igor Olenicoff ,$4.7 B,United States,real estate,601,79,Real Estate 
616,Mark Shoen ,$4.7 B,United States,U-Haul,601,71,Automotive 
617,Andrei Skoch & family ,$4.7 B,Russia,steel,601,56,Metals & Mining 
618,Fred Smith ,$4.7 B,United States,FedEx,601,77,Logistics 
619,Murat Ulker ,$4.7 B,Turkey,food,601,63,Food & Beverage 
620,Yu Yong ,$4.7 B,China,mining,601,61,Finance & Investments 
621,Stéphane Bancel ,$4.6 B,France,biotech,622,49,Healthcare 
622,Bubba Cathy ,$4.6 B,United States,Chick-fil-A,622,67,Food & Beverage 
623,Dan Cathy ,$4.6 B,United States,Chick-fil-A,622,69,Food & Beverage 
624,Trudy Cathy White ,$4.6 B,United States,Chick-fil-A,622,66,Food & Beverage 
625,Jason Chang ,$4.6 B,Singapore,electronics,622,77,Technology 
626,Dagmar Dolby & family ,$4.6 B,United States,Dolby Laboratories,622,80,Technology 
627,Bruce Flatt ,$4.6 B,Canada,money management,622,56,Finance & Investments 
628,Masatoshi Ito ,$4.6 B,Japan,retail,622,97,Fashion & Retail 
629,Viatcheslav Kantor ,$4.6 B,Russia,"fertilizer, real estate",622,68,Manufacturing 
630,Min Kao & family ,$4.6 B,United States,navigation equipment,622,73,Technology 
631,Lin Xiucheng & family ,$4.6 B,China,electronics,622,66,Technology 
632,Sami Mnaymneh ,$4.6 B,United States,private equity,622,60,Finance & Investments 
633,Tony Tamer ,$4.6 B,United States,private equity,622,64,Finance & Investments 
634,Richard White ,$4.6 B,Australia,software,622,67,Technology 
635,Baoguo Zhu & family ,$4.6 B,China,pharmaceuticals,622,59,Healthcare 
636,Michael Ashley ,$4.5 B,United Kingdom,sports retailing,637,57,Fashion & Retail 
637,Ron Baron ,$4.5 B,United States,money management,637,78,Finance & Investments 
638,Bert Beveridge ,$4.5 B,United States,vodka,637,60,Food & Beverage 
639,Todd Boehly ,$4.5 B,United States,finance,637,48,Finance & Investments 
640,David Bonderman ,$4.5 B,United States,private equity,637,79,Finance & Investments 
641,Guo Guangchang ,$4.5 B,China,conglomerate,637,55,Diversified 
642,Daryl Katz ,$4.5 B,Canada,pharmacies,637,60,Diversified 
643,Ted Lerner & family ,$4.5 B,United States,real estate,637,96,Real Estate 
644,Falguni Nayar ,$4.5 B,India,retailing,637,59,Fashion & Retail 
645,Trevor Rees-Jones ,$4.5 B,United States,oil & gas,637,70,Energy 
646,J. Joe Ricketts & family ,$4.5 B,United States,TD Ameritrade,637,80,Finance & Investments 
647,Robert Rowling ,$4.5 B,United States,"hotels, investments",637,68,Service 
648,Mark Stevens ,$4.5 B,United States,venture capital,637,62,Finance & Investments 
649,Gustav Magnar Witzoe ,$4.5 B,Norway,fish farming,637,28,Food & Beverage 
650,Xie Liangzhi & family ,$4.5 B,China,biotech,637,56,Healthcare 
651,Yeung Kin-man ,$4.5 B,Hong Kong,electronics,637,58,Manufacturing 
652,Zhang Hejun ,$4.5 B,China,electronics,637,64,Manufacturing 
653,Andrej Babis ,$4.4 B,Czechia,agriculture,654,67,Food & Beverage 
654,Giuseppe De'Longhi & family ,$4.4 B,Italy,coffee makers,654,82,Fashion & Retail 
655,Barry Diller ,$4.4 B,United States,online media,654,80,Media & Entertainment 
656,Christian Haub ,$4.4 B,Germany,retail,654,57,Fashion & Retail 
657,Huang Li ,$4.4 B,China,imaging systems,654,58,Technology 
658,Marian Ilitch ,$4.4 B,United States,Little Caesars,654,89,Food & Beverage 
659,Suleiman Kerimov & family ,$4.4 B,Russia,gold,654,56,Finance & Investments 
660,Edwin Leong ,$4.4 B,Hong Kong,real estate,654,70,Real Estate 
661,Lu Yiwen ,$4.4 B,China,Luxury goods,654,35,Fashion & Retail 
662,N.R. Narayana Murthy ,$4.4 B,India,software services,654,75,Technology 
663,Yang Jianliang & family ,$4.4 B,China,machinery,654,52,Manufacturing 
664,Pyotr Aven ,$4.3 B,Russia,"oil, banking, telecom",665,67,Finance & Investments 
665,Joesley Batista ,$4.3 B,Brazil,beef processing,665,50,Food & Beverage 
666,Wesley Batista ,$4.3 B,Brazil,beef packing,665,49,Food & Beverage 
667,Margot Birmingham Perot ,$4.3 B,United States,"computer services, real estate",665,88,Technology 
668,Rick Caruso ,$4.3 B,United States,real estate,665,63,Real Estate 
669,Jim Davis ,$4.3 B,United States,staffing & recruiting,665,62,Service 
670,Walter P.J. Droege ,$4.3 B,Germany,investing,665,69,Finance & Investments 
671,Dan Friedkin ,$4.3 B,United States,Toyota dealerships,665,57,Automotive 
672,Gao Dekang & family ,$4.3 B,China,apparel,665,70,Fashion & Retail 
673,Antti Herlin ,$4.3 B,Finland,"elevators, escalators",665,65,Manufacturing 
674,W. Herbert Hunt ,$4.3 B,United States,oil,665,93,Energy 
675,Jason Jiang ,$4.3 B,China,advertising,665,49,Media & Entertainment 
676,"Rupert Johnson, Jr. ",$4.3 B,United States,money management,665,81,Finance & Investments 
677,Vikram Lal & family ,$4.3 B,India,motorcycles,665,80,Automotive 
678,Lam Wai-ying ,$4.3 B,Hong Kong,smartphone screens,665,64,Manufacturing 
679,Chris Larsen ,$4.3 B,United States,cryptocurrency,665,61,Finance & Investments 
680,Richard Schulze ,$4.3 B,United States,Best Buy,665,81,Fashion & Retail 
681,Paul Singer ,$4.3 B,United States,hedge funds,665,77,Finance & Investments 
682,Barry Sternlicht ,$4.3 B,United States,private equity,665,61,Finance & Investments 
683,Su Hua ,$4.3 B,China,video streaming,665,40,Media & Entertainment 
684,Mark Walter ,$4.3 B,United States,finance,665,61,Finance & Investments 
685,Ty Warner ,$4.3 B,United States,"plush toys, real estate",665,77,Real Estate 
686,Rinat Akhmetov ,$4.2 B,Ukraine,"steel, coal",687,55,Metals & Mining 
687,Martin & Olivier Bouygues ,$4.2 B,France,"construction, media",687,64,Construction & Engineering 
688,Bernard Broermann ,$4.2 B,Germany,hospitals,687,78,Healthcare 
689,Mong-Koo Chung ,$4.2 B,South Korea,Hyundai,687,84,Automotive 
690,Daniel D'Aniello ,$4.2 B,United States,private equity,687,75,Finance & Investments 
691,Traudl Engelhorn & family ,$4.2 B,Germany,"pharmaceuticals, medical equipment",687,95,Healthcare 
692,Piero Ferrari ,$4.2 B,Italy,automobiles,687,76,Automotive 
693,Carlo Fidani ,$4.2 B,Canada,real estate,687,67,Real Estate 
694,Yakir Gabay ,$4.2 B,Cyprus,real estate,687,55,Real Estate 
695,Jaime Gilinski Bacal ,$4.2 B,Colombia,banking,687,64,Finance & Investments 
696,Bertil Hult ,$4.2 B,Sweden,education,687,81,Service 
697,Martha Ingram & family ,$4.2 B,United States,"book distribution, transportation",687,86,Media & Entertainment 
698,Lee Yin Yee ,$4.2 B,China,glass,687,70,Manufacturing 
699,Daniel Loeb ,$4.2 B,United States,hedge funds,687,60,Finance & Investments 
700,Janice McNair ,$4.2 B,United States,"energy, sports",687,85,Sports 
701,Ajay Piramal ,$4.2 B,India,pharmaceuticals,687,66,Healthcare 
702,Lynsi Snyder ,$4.2 B,United States,In-N-Out Burger,687,39,Food & Beverage 
703,Peter Spuhler ,$4.2 B,Switzerland,train cars,687,62,Manufacturing 
704,Kerry Stokes ,$4.2 B,Australia,"construction equipment, media",687,81,Diversified 
705,Jon Stryker ,$4.2 B,United States,medical equipment,687,63,Healthcare 
706,Vincent Viola ,$4.2 B,United States,electronic trading,687,66,Finance & Investments 
707,Romesh T. Wadhwani ,$4.2 B,United States,software,687,74,Technology 
708,Juan Domingo Beckmann Legorreta & family ,$4.1 B,Mexico,tequila,709,54,Food & Beverage 
709,Rafael Del Pino ,$4.1 B,Spain,construction,709,63,Construction & Engineering 
710,Sergey Dmitriev ,$4.1 B,Russia,computer software,709,56,Technology 
711,Senapathy Gopalakrishnan ,$4.1 B,India,software services,709,67,Technology 
712,James Irving ,$4.1 B,Canada,diversified,709,94,Diversified 
713,Lee Boo-jin ,$4.1 B,South Korea,Samsung,709,51,Service 
714,Samuel Tak Lee ,$4.1 B,Hong Kong,real estate,709,82,Real Estate 
715,Thai Lee ,$4.1 B,United States,IT provider,709,63,Technology 
716,Eric Lefkofsky ,$4.1 B,United States,"Groupon, investments",709,52,Technology 
717,Weiguo Li ,$4.1 B,China,construction materials,709,57,Manufacturing 
718,Ermirio Pereira de Moraes & family ,$4.1 B,Brazil,diversified,709,89,Diversified 
719,Maria Helena Moraes Scripilliti & family ,$4.1 B,Brazil,diversified,709,91,Diversified 
720,Augusto & Giorgio Perfetti ,$4.1 B,Italy,candy,709,64,Food & Beverage 
721,Thomas Secunda ,$4.1 B,United States,Bloomberg LP,709,67,Media & Entertainment 
722,Shaul Shani ,$4.1 B,Israel,telecom,709,67,Telecom 
723,E. Joe Shoen ,$4.1 B,United States,U-Haul,709,72,Automotive 
724,Steven Udvar-Hazy ,$4.1 B,United States,aircraft leasing,709,76,Service 
725,Russ Weiner ,$4.1 B,United States,energy drinks,709,51,Food & Beverage 
726,Guanjiang Wu & family ,$4.1 B,China,pharmaceuticals,709,53,Healthcare 
727,Anil Agarwal & family ,$4 B,India,"mining, metals",728,68,Metals & Mining 
728,Somphote Ahunai ,$4 B,Thailand,renewable energy,728,54,Energy 
729,Patrizio Bertelli ,$4 B,Italy,luxury goods,728,76,Fashion & Retail 
730,Rakesh Gangwal ,$4 B,United States,airline,728,68,Service 
731,Paul Gauselmann & family ,$4 B,Germany,gambling,728,87,Gambling & Casinos 
732,Hao Hong ,$4 B,United States,pharmaceuticals,728,66,Healthcare 
733,He Xiaopeng ,$4 B,China,electric vehicles,728,44,Automotive 
734,Michael Herz ,$4 B,Germany,coffee,728,78,Fashion & Retail 
735,Wolfgang Herz ,$4 B,Germany,coffee,728,71,Fashion & Retail 
736,Arthur Irving ,$4 B,Canada,oil,728,92,Energy 
737,Victor Jacobsson ,$4 B,Sweden,fintech,728,40,Finance & Investments 
738,Marc Ladreit de Lacharriere ,$4 B,France,finance,728,81,Finance & Investments 
739,Patrick Lee ,$4 B,Hong Kong,paper,728,80,Manufacturing 
740,Max Lytvyn ,$4 B,Canada,software,728,42,Technology 
741,Gilles Martin ,$4 B,France,laboratory services,728,58,Healthcare 
742,Ramzi Musallam ,$4 B,United States,private equity,728,53,Finance & Investments 
743,Georg Nemetschek & family ,$4 B,Germany,software,728,88,Technology 
744,Akio Nitori ,$4 B,Japan,home furnishings,728,78,Fashion & Retail 
745,Daniel Och ,$4 B,United States,hedge funds,728,61,Finance & Investments 
746,Pankaj Patel ,$4 B,India,pharmaceuticals,728,69,Healthcare 
747,John Paulson ,$4 B,United States,hedge funds,728,66,Finance & Investments 
748,Miuccia Prada ,$4 B,Italy,luxury goods,728,72,Fashion & Retail 
749,Jean (Gigi) Pritzker ,$4 B,United States,"hotels, investments",728,59,Service 
750,Juan Roig ,$4 B,Spain,supermarkets,728,72,Fashion & Retail 
751,David Rubenstein ,$4 B,United States,private equity,728,72,Finance & Investments 
752,Howard Schultz ,$4 B,United States,Starbucks,728,68,Food & Beverage 
753,Alex Shevchenko ,$4 B,Canada,software,728,42,Technology 
754,Dan Snyder ,$4 B,United States,Washington Football Team,728,57,Sports 
755,Jerzy Starak ,$4 B,Poland,pharmaceuticals,728,74,Healthcare 
756,Udo & Harald Tschira ,$4 B,Germany,software,728,64,Technology 
757,Kelcy Warren ,$4 B,United States,pipelines,728,66,Energy 
758,Herbert Wertheim ,$4 B,United States,investments,728,82,Finance & Investments 
759,Cameron Winklevoss ,$4 B,United States,cryptocurrency,728,40,Finance & Investments 
760,Tyler Winklevoss ,$4 B,United States,cryptocurrency,728,40,Finance & Investments 
761,Denise York & family ,$4 B,United States,San Francisco 49ers,728,71,Sports 
762,Zhao Lixin ,$4 B,China,electronics,728,56,Technology 
763,Hubert Burda ,$3.9 B,Germany,publishing,764,82,Media & Entertainment 
764,Francesco Gaetano Caltagirone ,$3.9 B,Italy,"cement, diversified",764,79,Construction & Engineering 
765,Marcos Galperin ,$3.9 B,Argentina,e-commerce,764,64,Technology 
766,Li Xiang ,$3.9 B,China,electric vehicles,764,40,Automotive 
767,"Stephen Mandel, Jr. ",$3.9 B,United States,hedge funds,764,66,Finance & Investments 
768,Gabe Newell ,$3.9 B,United States,videogames,764,59,Gambling & Casinos 
769,Maja Oeri ,$3.9 B,Switzerland,pharmaceuticals,764,67,Healthcare 
770,Paolo & Gianfelice Mario Rocca ,$3.9 B,Italy,pipe manufacturing,764,64,Metals & Mining 
771,Neil Shen ,$3.9 B,China,venture capital,764,54,Finance & Investments 
772,Helmut Sohmen ,$3.9 B,Austria,shipping,764,82,Logistics 
773,Donald Sterling ,$3.9 B,United States,real estate,764,87,Real Estate 
774,Don Vultaggio & family ,$3.9 B,United States,beverages,764,70,Food & Beverage 
775,Yiling Wu ,$3.9 B,China,pharmaceuticals,764,72,Healthcare 
776,Gongshan Zhu ,$3.9 B,China,solar panel materials,764,64,Manufacturing 
777,Gayle Benson ,$3.8 B,United States,pro sports teams,778,75,Sports 
778,"William Conway, Jr. ",$3.8 B,United States,private equity,778,72,Finance & Investments 
779,Gurbachan Singh Dhingra ,$3.8 B,India,paints,778,71,Manufacturing 
780,Kuldip Singh Dhingra ,$3.8 B,India,paints,778,74,Manufacturing 
781,Luca Garavoglia ,$3.8 B,Italy,spirits,778,53,Food & Beverage 
782,Vinod & Anil Rai Gupta ,$3.8 B,India,electrical equipment,778,64,Manufacturing 
783,Jimmy Haslam ,$3.8 B,United States,"gas stations, retail",778,68,Fashion & Retail 
784,Susan Carol Holland ,$3.8 B,Italy,hearing aids,778,65,Manufacturing 
785,Timur Kulibaev ,$3.8 B,Kazakhstan,banking,778,55,Finance & Investments 
786,Dinara Kulibaeva ,$3.8 B,Kazakhstan,banking,778,54,Finance & Investments 
787,Michel Leclercq & family ,$3.8 B,France,sporting goods,778,82,Fashion & Retail 
788,Pablo Legorreta ,$3.8 B,United States,investments,778,58,Finance & Investments 
789,Margarita Louis-Dreyfus & family ,$3.8 B,Switzerland,commodities,778,59,Food & Beverage 
790,Michael Milken ,$3.8 B,United States,investments,778,75,Finance & Investments 
791,Denis O'Brien ,$3.8 B,Ireland,telecom,778,63,Telecom 
792,Katharina Otto-Bernstein ,$3.8 B,Germany,real estate,778,58,Real Estate 
793,James Packer ,$3.8 B,Australia,casinos,778,54,Gambling & Casinos 
794,Sergio Stevanato & family ,$3.8 B,Italy,medical packaging,778,79,Healthcare 
795,Leena Tewari ,$3.8 B,India,pharmaceuticals,778,64,Healthcare 
796,Yitzhak Tshuva ,$3.8 B,Israel,real estate,778,73,Real Estate 
797,Paul-Heinz Wesjohann & family ,$3.8 B,Germany,chicken processing,778,78,Food & Beverage 
798,Zeng Fangqin ,$3.8 B,China,smartphone components,778,56,Technology 
799,Zhou Bajin ,$3.8 B,China,auto parts,778,86,Manufacturing 
800,William Berkley ,$3.7 B,United States,insurance,801,75,Finance & Investments 
801,John Catsimatidis ,$3.7 B,United States,"oil, real estate",801,73,Energy 
802,Che Jianxing ,$3.7 B,China,furniture retailing,801,55,Fashion & Retail 
803,Gustavo Denegri ,$3.7 B,Italy,biotech,801,85,Healthcare 
804,Charles Edelstenne ,$3.7 B,France,aviation,801,84,Manufacturing 
805,Reed Hastings ,$3.7 B,United States,Netflix,801,61,Media & Entertainment 
806,"Amos Hostetter, Jr. ",$3.7 B,United States,cable television,801,85,Media & Entertainment 
807,Brad Jacobs ,$3.7 B,United States,logistics,801,65,Logistics 
808,Friedrich Knapp ,$3.7 B,Germany,fashion retail,801,70,Fashion & Retail 
809,William Lauder ,$3.7 B,United States,Estee Lauder,801,61,Fashion & Retail 
810,Richard LeFrak & family ,$3.7 B,United States,real estate,801,76,Real Estate 
811,Li Guoqiang ,$3.7 B,China,auto dealerships,801,58,Automotive 
812,Low Tuck Kwong ,$3.7 B,Indonesia,coal,801,73,Energy 
813,Akira Mori & family ,$3.7 B,Japan,real estate,801,85,Real Estate 
814,Anthony Pritzker ,$3.7 B,United States,"hotels, investments",801,61,Service 
815,Ira Rennert ,$3.7 B,United States,investments,801,87,Finance & Investments 
816,"Bernard Saul, II. ",$3.7 B,United States,"banking, real estate",801,89,Finance & Investments 
817,Shi Yonghong & family ,$3.7 B,China,restaurants,801,53,Food & Beverage 
818,Song Chi-hyung ,$3.7 B,South Korea,cryptocurrency,801,43,Finance & Investments 
819,Steven Spielberg ,$3.7 B,United States,movies,801,75,Media & Entertainment 
820,Wong Luen Hei ,$3.7 B,China,building materials,801,60,Manufacturing 
821,Danielle Bellon & family ,$3.6 B,France,food services,822,82,Service 
822,Byju Raveendran and Divya Gokulnath ,$3.6 B,India,education technology,822,40,Technology 
823,Cho Tak Wong ,$3.6 B,Hong Kong,auto parts,822,75,Manufacturing 
824,Charles Cohen ,$3.6 B,United States,real estate,822,70,Real Estate 
825,Kenneth Dart ,$3.6 B,Belize,investments,822,66,Finance & Investments 
826,Martin Ebner ,$3.6 B,Switzerland,investments,822,76,Finance & Investments 
827,David Filo ,$3.6 B,United States,Yahoo,822,55,Technology 
828,Miguel Fluxa Rossello ,$3.6 B,Spain,hotels,822,83,Service 
829,John Henry ,$3.6 B,United States,sports,822,72,Sports 
830,Hu Kaijun ,$3.6 B,China,pharmaceuticals,822,60,Healthcare 
831,Peter Kellogg ,$3.6 B,United States,investments,822,79,Finance & Investments 
832,James Leprino ,$3.6 B,United States,cheese,822,84,Food & Beverage 
833,Iskander Makhmudov ,$3.6 B,Russia,"mining, metals, machinery",822,58,Metals & Mining 
834,Daniel Mate ,$3.6 B,Spain,"mining, commodities",822,58,Metals & Mining 
835,Aristotelis Mistakidis ,$3.6 B,Greece,"mining, commodities",822,60,Metals & Mining 
836,Arturo Moreno ,$3.6 B,United States,"billboards, Los Angeles Angels",822,75,Sports 
837,Nan Cunhui ,$3.6 B,China,power equipment,822,58,Manufacturing 
838,Julio Ponce Lerou ,$3.6 B,Chile,fertilizer,822,76,Metals & Mining 
839,J.B. Pritzker ,$3.6 B,United States,"hotels, investments",822,57,Finance & Investments 
840,Chandru Raheja ,$3.6 B,India,real estate,822,81,Real Estate 
841,Rodger Riney & family ,$3.6 B,United States,discount brokerage,822,76,Finance & Investments 
842,Shi Yuzhu ,$3.6 B,China,"online games, investments",822,59,Diversified 
843,Zuowen Song ,$3.6 B,China,"aluminum, diversified",822,75,Diversified 
844,Jerry Speyer ,$3.6 B,United States,real estate,822,81,Real Estate 
845,Julia Thiele-Schuerhoff ,$3.6 B,Germany,"brakes, investments",822,50,Manufacturing 
846,Tung Chee Chen ,$3.6 B,Hong Kong,shipping,822,79,Logistics 
847,Roger Wang ,$3.6 B,United States,retail,822,73,Fashion & Retail 
848,Wu Shaoxun ,$3.6 B,China,wine,822,66,Food & Beverage 
849,Wenzhong Zhang ,$3.6 B,China,supermarkets,822,60,Fashion & Retail 
850,Chen Kaixuan ,$3.5 B,China,household chemicals,851,63,Manufacturing 
851,Beatriz Davila de Santo Domingo ,$3.5 B,Colombia,beer,851,83,Food & Beverage 
852,Antonio Del Valle Ruiz & family ,$3.5 B,Mexico,chemicals,851,83,Manufacturing 
853,Carl Douglas ,$3.5 B,Sweden,investments,851,60,Diversified 
854,Eric Douglas ,$3.5 B,Sweden,investments,851,53,Diversified 
855,Jiangtao Du & family ,$3.5 B,China,chemicals,851,52,Manufacturing 
856,Juan Carlos Escotet ,$3.5 B,Venezuela,banking,851,62,Finance & Investments 
857,Fiona Geminder ,$3.5 B,Australia,manufacturing,851,57,Manufacturing 
858,Yuhua Gu & family ,$3.5 B,China,furniture,851,72,Manufacturing 
859,James Irsay ,$3.5 B,United States,Indianapolis Colts,851,62,Sports 
860,Kuok Khoon Hong ,$3.5 B,Singapore,palm oil,851,72,Manufacturing 
861,Aerin Lauder ,$3.5 B,United States,cosmetics,851,51,Fashion & Retail 
862,Lee Seo-hyun ,$3.5 B,South Korea,Samsung,851,48,Diversified 
863,Li Yongxin & family ,$3.5 B,China,education,851,46,Service 
864,Jeffrey Lurie ,$3.5 B,United States,Philadelphia Eagles,851,70,Sports 
865,Mary Alice Dorrance Malone ,$3.5 B,United States,Campbell Soup,851,72,Food & Beverage 
866,Ronald McAulay ,$3.5 B,Hong Kong,energy,851,86,Energy 
867,Apoorva Mehta ,$3.5 B,Canada,grocery delivery service,851,35,Technology 
868,Arnon Milchan ,$3.5 B,Israel,movie making,851,77,Media & Entertainment 
869,Masahiro Noda ,$3.5 B,Japan,software,851,83,Technology 
870,Maren Otto ,$3.5 B,Germany,"retail, real estate",851,64,Diversified 
871,Renzo Rosso & family ,$3.5 B,Italy,fashion,851,66,Fashion & Retail 
872,Lynn Schusterman ,$3.5 B,United States,"oil & gas, investments",851,83,Energy 
873,Gil Shwed ,$3.5 B,Israel,software,851,53,Technology 
874,Thomas Siebel ,$3.5 B,United States,business software,851,69,Technology 
875,Herb Simon ,$3.5 B,United States,real estate,851,87,Real Estate 
876,Friede Springer ,$3.5 B,Germany,publishing,851,79,Media & Entertainment 
877,Wang Zhenhua ,$3.5 B,China,real estate,851,60,Real Estate 
878,Hans Peter Wild ,$3.5 B,Switzerland,flavorings,851,80,Food & Beverage 
879,"William Wrigley, Jr. ",$3.5 B,United States,chewing gum,851,58,Food & Beverage 
880,Xia Zuoquan ,$3.5 B,China,"automobiles, batteries",851,60,Automotive 
881,Xue Hua ,$3.5 B,China,agribusiness,851,52,Manufacturing 
882,Mohed Altrad ,$3.4 B,France,"scaffolding, cement mixers",883,74,Construction & Engineering 
883,Sid Bass ,$3.4 B,United States,"oil, investments",883,79,Energy 
884,Nick Caporella ,$3.4 B,United States,beverages,883,86,Food & Beverage 
885,Cheng Yixiao ,$3.4 B,China,video streaming app,883,38,Media & Entertainment 
886,Wesley Edens ,$3.4 B,United States,investments,883,60,Finance & Investments 
887,Behdad Eghbali ,$3.4 B,United States,private equity,883,45,Finance & Investments 
888,Archie Aldis Emmerson & family ,$3.4 B,United States,"timberland, lumber mills",883,92,Manufacturing 
889,Jose E. Feliciano ,$3.4 B,United States,private equity,883,48,Finance & Investments 
890,Fu Liquan & family ,$3.4 B,China,surveillance equipment,883,54,Technology 
891,David Gottesman ,$3.4 B,United States,investments,883,95,Finance & Investments 
892,Laurence Graff & family ,$3.4 B,United Kingdom,diamond jewelry,883,83,Fashion & Retail 
893,Jeff T. Green ,$3.4 B,United States,digital advertising,883,45,Media & Entertainment 
894,Jim Kavanaugh ,$3.4 B,United States,IT provider,883,59,Technology 
895,Steven Klinsky ,$3.4 B,United States,investments,883,65,Finance & Investments 
896,John Middleton ,$3.4 B,United States,tobacco,883,67,Food & Beverage 
897,Jerry Ng ,$3.4 B,Indonesia,banking,883,56,Finance & Investments 
898,Tengyun Nie & family ,$3.4 B,China,logistics,883,46,Service 
899,Nandan Nilekani ,$3.4 B,India,software services,883,66,Technology 
900,Bob Parsons ,$3.4 B,United States,web hosting,883,71,Technology 
901,Prasert Prasarttong-Osoth ,$3.4 B,Thailand,hospitals,883,89,Healthcare 
902,Qiu Guanghe & family ,$3.4 B,China,fashion retail,883,70,Fashion & Retail 
903,Richard Sands ,$3.4 B,United States,liquor,883,71,Food & Beverage 
904,Robert Sands ,$3.4 B,United States,liquor,883,63,Food & Beverage 
905,T. Denny Sanford ,$3.4 B,United States,"banking, credit cards",883,86,Finance & Investments 
906,Naguib Sawiris ,$3.4 B,Egypt,telecom,883,67,Telecom 
907,Pavel Tykac ,$3.4 B,Czechia,coal mines,883,57,Metals & Mining 
908,Todd Wanek ,$3.4 B,United States,furniture,883,58,Manufacturing 
909,Meg Whitman ,$3.4 B,United States,eBay,883,65,Technology 
910,Michael Xie ,$3.4 B,United States,cybersecurity,883,53,Technology 
911,Chenghai Ye & family ,$3.4 B,Hong Kong,pharmaceuticals,883,78,Healthcare 
912,An Kang ,$3.3 B,China,pharmaceuticals,913,73,Healthcare 
913,John Arnold ,$3.3 B,United States,hedge funds,913,48,Finance & Investments 
914,Arun Bharat Ram ,$3.3 B,India,chemicals,913,81,Manufacturing 
915,Tomasz Biernacki ,$3.3 B,Poland,supermarkets,913,49,Fashion & Retail 
916,Travis Boersma ,$3.3 B,United States,coffee,913,51,Food & Beverage 
917,Chan Tan Ching-fen ,$3.3 B,Hong Kong,real estate,913,64,Real Estate 
918,Dongsheng Chen ,$3.3 B,China,insurance,913,64,Finance & Investments 
919,Jean Coutu & family ,$3.3 B,Canada,drugstores,913,94,Fashion & Retail 
920,Ralph Dommermuth ,$3.3 B,Germany,internet service provider,913,58,Technology 
921,Walter Faria ,$3.3 B,Brazil,beer,913,67,Food & Beverage 
922,Bob Gaglardi ,$3.3 B,Canada,hotels,913,81,Real Estate 
923,John Gandel ,$3.3 B,Australia,shopping malls,913,87,Real Estate 
924,Xuande Hua & family ,$3.3 B,China,pharmaceuticals,913,78,Healthcare 
925,Micky Jagtiani ,$3.3 B,India,retail,913,70,Fashion & Retail 
926,H. Fisk Johnson ,$3.3 B,United States,cleaning products,913,63,Manufacturing 
927,S. Curtis Johnson ,$3.3 B,United States,cleaning products,913,66,Manufacturing 
928,Helen Johnson-Leipold ,$3.3 B,United States,cleaning products,913,65,Manufacturing 
929,Miguel Krigsner ,$3.3 B,Brazil,cosmetics,913,72,Fashion & Retail 
930,Li Jianquan & family ,$3.3 B,Hong Kong,consumer products,913,65,Healthcare 
931,Lin Ming-hsiung ,$3.3 B,Taiwan,supermarkets,913,72,Fashion & Retail 
932,Winifred J. Marquart ,$3.3 B,United States,cleaning products,913,62,Manufacturing 
933,Kiran Mazumdar-Shaw ,$3.3 B,India,biopharmaceuticals,913,69,Healthcare 
934,Patrice Motsepe ,$3.3 B,South Africa,mining,913,60,Metals & Mining 
935,Alfred Oetker ,$3.3 B,Germany,consumer goods,913,55,Fashion & Retail 
936,Carl Ferdinand Oetker ,$3.3 B,Germany,consumer goods,913,49,Fashion & Retail 
937,Julia Oetker ,$3.3 B,Germany,consumer goods,913,43,Fashion & Retail 
938,Or Wai Sheun ,$3.3 B,Hong Kong,real estate,913,70,Real Estate 
939,Jay Paul ,$3.3 B,United States,real estate,913,74,Real Estate 
940,Horst Paulmann & family ,$3.3 B,Chile,retail,913,87,Fashion & Retail 
941,Theodore Rachmat ,$3.3 B,Indonesia,diversified,913,78,Diversified 
942,John Sall ,$3.3 B,United States,software,913,74,Technology 
943,Stefan von Holtzbrinck ,$3.3 B,Germany,publishing,913,58,Media & Entertainment 
944,Nusli Wadia ,$3.3 B,India,consumer goods,913,78,Food & Beverage 
945,Steve Wynn ,$3.3 B,United States,"casinos, hotels",913,80,Gambling & Casinos 
946,Yang Weidong & family ,$3.3 B,China,chemicals,913,53,Manufacturing 
947,Barry Zekelman ,$3.3 B,Canada,steel,913,55,Manufacturing 
948,Zhang Shilong & family ,$3.3 B,China,semiconductor,913,56,Technology 
949,Zhong Ruonong & family ,$3.3 B,China,electronics,913,59,Manufacturing 
950,Cameron Adams ,$3.2 B,Australia,software,951,42,Technology 
951,Dongchen Cai ,$3.2 B,China,pharmaceuticals,951,69,Healthcare 
952,Vanich Chaiyawan ,$3.2 B,Thailand,"insurance, beverages",951,90,Finance & Investments 
953,Andrew & Peggy Cherng ,$3.2 B,United States,restaurants,951,64,Food & Beverage 
954,James Clark ,$3.2 B,United States,"Netscape, investments",951,78,Technology 
955,Jack Cowin ,$3.2 B,Australia,fast food,951,79,Food & Beverage 
956,Giuseppe Crippa & family ,$3.2 B,Italy,microchip testing,951,86,Manufacturing 
957,Sergei Galitsky ,$3.2 B,Russia,retail,951,54,Fashion & Retail 
958,"Ernest Garcia, III ",$3.2 B,United States,used cars,951,39,Automotive 
959,Peter Gilgan ,$3.2 B,Canada,homebuilding,951,71,Construction & Engineering 
